     3.040      2.771      0.845      0.845      0.091      0.091
     3.050      2.780      0.846      0.846      0.091      0.091
     3.060      2.788      0.847      0.847      0.088      0.088
     3.070      2.797      0.848      0.848      0.088      0.088
     3.080      2.805      0.849      0.849      0.093      0.093
     3.090      2.814      0.850      0.850      0.088      0.088
     3.100      2.822      0.851      0.851      0.093      0.093
     3.110      2.831      0.852      0.852      0.091      0.091
     3.120      2.839      0.853      0.853      0.088      0.088
     3.130      2.848      0.853      0.853      0.095      0.095
     3.140      2.856      0.854      0.854      0.091      0.091
     3.150      2.865      0.855      0.855      0.091      0.091
     3.160      2.873      0.856      0.856      0.093      0.093
     3.170      2.882      0.857      0.857      0.093      0.093
     3.180      2.891      0.858      0.858      0.091      0.091
     3.190      2.899      0.859      0.859      0.095      0.095
     3.200      2.908      0.860      0.860      0.091      0.091
     3.210      2.916      0.861      0.861      0.095      0.095
     3.220      2.925      0.862      0.862      0.093      0.093
     3.230      2.934      0.863      0.863      0.093      0.093
     3.240      2.942      0.864      0.864      0.095      0.095
     3.250      2.951      0.865      0.865      0.093      0.093
     3.260      2.959      0.866      0.866      0.095      0.095
     3.270      2.968      0.866      0.866      0.095      0.095
     3.280      2.977      0.867      0.867      0.095      0.095
     3.290      2.985      0.868      0.868      0.093      0.093
     3.300      2.994      0.869      0.869      0.095      0.095
     3.310      3.003      0.870      0.870      0.098      0.098
     3.320      3.012      0.871      0.871      0.095      0.095
     3.330      3.020      0.872      0.872      0.095      0.095
     3.340      3.029      0.873      0.873      0.095      0.095
     3.350      3.038      0.874      0.874      0.098      0.098
     3.360      3.046      0.875      0.875      0.098      0.098
     3.370      3.055      0.876      0.876      0.095      0.095
     3.380      3.064      0.877      0.877      0.098      0.098
     3.390      3.073      0.878      0.878      0.098      0.098
     3.400      3.081      0.879      0.879      0.095      0.095
     3.410      3.090      0.880      0.880      0.100      0.100
     3.420      3.099      0.881      0.881      0.098      0.098
     3.430      3.108      0.882      0.882      0.098      0.098
     3.440      3.117      0.883      0.883      0.098      0.098
     3.450      3.126      0.884      0.884      0.100      0.100
     3.460      3.134      0.885      0.885      0.098      0.098
     3.470      3.143      0.886      0.886      0.100      0.100
     3.480      3.152      0.887      0.887      0.100      0.100
     3.490      3.161      0.888      0.888      0.098      0.098
     3.500      3.170      0.889      0.889      0.100      0.100
     3.510      3.179      0.890      0.890      0.100      0.100
     3.520      3.188      0.891      0.891      0.100      0.100
     3.530      3.197      0.892      0.892      0.100      0.100
     3.540      3.205      0.893      0.893      0.100      0.100
     3.550      3.214      0.894      0.894      0.103      0.103
     3.560      3.223      0.895      0.895      0.098      0.098
     3.570      3.232      0.896      0.896      0.105      0.105
     3.580      3.241      0.897      0.897      0.098      0.098
     3.590      3.250      0.898      0.898      0.105      0.105
     3.600      3.259      0.899      0.899      0.100      0.100
     3.610      3.268      0.900      0.900      0.100      0.100
     3.620      3.277      0.901      0.901      0.105      0.105
     3.630      3.286      0.902      0.902      0.103      0.103
